,reviews
361,addnboadd both flights on time easy check in wonderful new aircraft the embraer 190 lifts the whole experience above almost all medium haul flights in my entire life i volunteered to downgrade on the addnbo leg as the flight was sold out and i was only standby despite having a booking however the ticket was issued for the following morning and i had the choice either to downgrade or to wait but even the economy class was a very good experience despite being full lots of food 2 food options  vegetarian constant refill of drinks and the aircraft completely clean and staff observant and kind and quick not denied anything on the way back same excellent service even the taxfree worked well very detailed enjoyable and interesting info from captain on both legs the entire cockpit staff was introduced and likewise the chief purser nice seats spacious with poweroutlets a great experience ife seemed not working but who cares
362,flew from fbm to hkg it was pretty old 767 aircraft half of the entertainment system didnt work always afraid of whether the baggage will arrive or not uncomfortable seats one of the flight attendant behaviour flying out was very impolite
363,hey have repeatedly failed to deliver service befitting their alleged title as the pride of africa sydney to nairobi via bangkok in april and december 2012 and the experience was appalling kq took over from bkk and fas were very rude dismissive and rolled their eyes at simple and polite requests for essentials such as a blanket and water when my first blanket request was ignored i pushed the fa button only for a passing fa to turn it off harshly and storm off while i was trying to explain what i needed eventually i gave up there was no entertainment although this was a 15 or so hour flight the seats were really uncomfortable and bathrooms were disgusting but i have to say the food was the only highlight never flying kq again though
364,great overnight flight from lhr to nairobi on time delightful service good food generous with drinks only issue was shortish time between dinner and breakfast connection to entebbe smooth on time new plane same quality of service baggage arrived absolutely no complaints
365,airobi to bangkok it was an overnight flight that was continuing to guangzhou an older aircraft entertainment system didnt work food was inedible the staff however were delightful cheap tickets that got us to our destination  would definitely pay more in the future to avoid such an unpleasant experience
366,lhrnbonda flew 17 dec boarding was quick and efficient flight was delayed leaving heathrow due to baggage needing to be taken off the plane because of no passengers an understandable security measure and the pilot entertained us with his flight plan food was good and staff were friendly and attentive landed on time in nairobi second leg to ndola was uncomfortable seated in emergency exit aisle with very straight seat unable to recline seat slipped forward so the metal was exposed return leg via nairobi was good seat for nairobi to london was broken so would not stay reclined ife was good both ways as was all food and drink served
367,we travelled for the first time with kenyan airways and found staff very friendly and helpful the food on board was adequate and hot the seats were not very comfortable seat pitch poor and not much room the return trip was on a newer aircraft i think and the onboard entertainment system worked fine
368,more than happy with the service from malindi to nairobi the travel agent messed up my ticket and did not have the ticket available at the airport they were kind and patient and even came on board to make sure i was fine i even was upgraded to business it was such a short flight but the additional leg room was nice and seats were comfortable flight is only 40 minutes  time for a snack hot towel and soda
369,24 dec 2012 travelled kq 484 from nbodar a midday flight we boarded quite early and waited a long time to depart embraer190 was very clean and new had a delicious meal and arrived ontime and found our luggage on our return flight boarded ontime and we left 10 minutes earlier than scheduled the passengers seated in front of me fully lowered his seat which made me quite uncomfortable during both trips however the crew were kind
370,aveled to nbo on 31 sep 2012 flight delayed due to the fact that a jacket was found in a seat with no passenger attached to it a few mumbled announcements were made to find the passenger a security delay was announced followed by a need to refuel the aircraft before takeoff many passengers missed their onward flights seats were incredibly uncomfortable felt like there was no padding and my seat cushion slipped forward revealing the metal base of the seat very uncomfortable inflight service did not work no matter how many times they rebooted it certain seats were still noops headphones were falling apart and the one pair that was not was of no use as the socket on the seat i was sitting in and the one next to me was broken the meal service was similar to what you would expect on a charter flight very basic breads cold to frozen and dry salad was tired and limp i will not be flying kq in futre unless i can pay for a c class ticket
371,5 nov 2012 kq116 nairobi to amsterdam boeing 767 morning flight i booked to fly klm for both out and inbound journeys but unfortunately found myself obliged to fly kq for the return seats and fittings equally dilapidated as the kq flight to paris that i now systematically avoid inflight entertainment was simply missing i didnt think any airline would put these kind of flights on popular international routes 2 hrs after takeoff the breakfast trolley is rolling past 1 hour later flight attendant offers me a tray with bread croissant butter and juice announcing continental breakfast half an hour later im still waiting for a hot drink in the meantime the captain is apologising about late takeoff from nairobi as if it was something to be proud of tea eventually comes 1 hour after continental breakfast incidentally the temperatures in the cabin is kept glacial this is nothing compared to lunch after a terribly long wait to only to end up with a repeat of the earlier back and forth game of trolleys and trays partially empty trays trays with this or that missing my salad comes with the inside of the already unsealed lid smeared with what looks like chocolate pudding we are a long cry from the fancy looking menu proudly presented at the onset of flight between 2003 and 2007 kq was my favourite company on this route but it will be a while before i choose kq over other alternatives
372,i found the flight horrible my partners tv didnt work there and back seats not comfy when we called the flight attendant it was over an hour before anyone came that is after the bell was switched off several times i was not sat with my partner and when i asked if it was possible if we could sit together they couldnt be bothered to help
373,airobi to lagos after a 30 hours delay  yes 30 hours but what was most annoying is that the kenya airways staff refused to explain what the problem waswas it mechanical or what turned out the cabin crew were staging industrial action to try to prevent nonkenyan nationals working for the airline but the refusal to explain anything only made passengers more and more angry never want to fly with them again
374,be honest i never got on the airplane got to nairobi for a flight to lagos 05102012 to be told the flight was cancelled and they had no spare airplanes we were told to try again the next day in the ensuing chaos business class passengers with confirmed ticket for another flight nairobi to addis were told the flight was overbooked and full already the airline reflects the airport which is among the worst ive encountered
375,kq is on time i have flown them 12 times over the last few weeks ex nbo to mba and ebb and they are on time boarding commences at least 30 minutes before departure and you may have to sit on the plane for 15 minutes but all flights were in time flights have been very full service has been good no food service just drinks and priority luggage works in ebb our bags were sitting near the conveyor belt having been off loaded first lets hope they can keep it up
376,flew kq return flight from cdg to nbi aug20sep4 flights were about on time but very old run down 767 worse than delta with pathetic seatscomfort and nonexistent inflight entertainment staff looked bored and food was poor with all this youd expect a discount but no 900 euros return and the plane was half empty on 20th
377,we flew from heathrow to nairobi on 4th sep with the flight leaving on time we managed to get extra legroom seats row 12 as my husband is 6 ft 5 and they were fine boarding was fairly structured and the food an evening meal  i chose the veggie option  stuffed peppers was pretty good  hot and tasty with a snack just before landing for breakfast i didnt expect much from the ife from the reviews and wasnt bothered anyway some parts of the cabin were a bit frayed around the edges but no real complaints crew were fairly attentive both internal flights were also fine  a short hop between nairobi and mombassa and vice versa  the first left early the second a few minutes late on both there was time for a snack and a drink with good crew service flying back on 13th from nairobi to heathrow was fine too  left on time but no extra legroom seats this time so a bit cramped for my husband ife was very poor  his seatback tv didnt work and mine was hit and miss again no complaints about food boarding this time was a bit more chaotic and jkia is a horrible airport  cramped chaotic and poor flight information luggage all arrived with no problems too maybe we were just lucky given all the other poor experiences but i cant say there was anything majorly wrong with any of our flights or the service we received
378,i was scheduled to fly from chicago to brussels and take brussels air to nairobi july 5th ord flight was late missed connection rerouted through london london to nairobi via kenya airlines one checked bag did not arrive twice kenya air made arrangements to deliver bag while i was in country twice they failed to show repeated attempts to contact them after i returned were futile six weeks later united calls and says they have my bag
379,flew on a 767 from cdg to nbo on july 19th and then a 777 from nbo to ams on august 17th flight from paris to nairobi showed as being on time for 11am departure but bit by bit departure was pushed back until 3pm without any explanation whatsoever once on board 767 both avod devices did not work making 8hour journey feel even longer food was average same as most us carriers and service was kind on return flight we were once again delayed for one hour without explanation and once again avod in both seats did not work food on return flight was less than pleasant i did not have high expectations but kenya airways made even mainstream us carriers look luxurious
380,i live in kenya and i am a flying blue gold member unfortunately i have to fly kq frequently i say unfortunately mainly due to the more than frequent delays without explanations without anyone responsible and without real support as to what to do you feel totally lost in the horrible jkia when flights get delayed over night people are ferried to hotels in cbd instead of hotels closer to the airport apart from this standing joke on kq unreliability of flights i have to say that i have always received my luggage touch wood inflight entertainment is a complete joke with old movies on the system that only works half the time twice in business nboparis i had no inflight entertainment at all and no apologies for it food is not too bad seats are old and uncomfortable now if kq would at least be a cheap airline i could accept all this but given the pricing structure it is just annoying 1000 in econ nbo to maputo i have seen worse but i have also seen much better
381,a pleasant surprise with this airline i made sure i bought travel insurance and examined the policy wording after reading these reviews on this site however from hkgbkkhkg it was clean efficient and with good service outbound flight delayed by 45 minutes but inward was on time luggage and checkin fast and efficient too although couldnt checkin online the price we paid made this a budget airline purchase effectively and we treated as such would be happy to fly with them again if we found a good deal
382,flew them last month from lusakanairobi and return on old boeing 767s while going flight was via lillongwe and on return via harare both ways seats were broken and quite uncomfortable staff were not friendly at all cabin and toilets were quite dirty food both ways was also horrible on return in nairobi checkin staff gave me 2 boarding passes one for the nairobiharare flight and the other for the harare lusaka flight meaning i had to change seats in harare never seen that in any other airline recommend to avoid this airline if possible and use alternatives when flying to and from africa such as saaet
383,flight from nairobi to kigali cancelled with no notice and no reason rebooked on later flight via bujumbura stayed on the ground at bujumburra for 2 hours no luggage on arrival and no one cared phone call on a saturday resulted in call back monday we dont have staff to chase luggage on the weekend in air service was good on all our kenya airways flights but poor schedule management and incredibly bad luggage management means i will not fly again if i can help it such a pity it could be a great airline
384,flew dubai to nairobi to dubai both ways cramped stuffy no ife and filthy conditions also on return flight no reading light and arm rest broken flight from nairobi to dubai had been cancelled a month before but not informed staff made us feel that it was our fault kept waiting for hours before we could speak to someone in authority no genuine interest shown by staff will not be using the pride of kenya again
385,flight to johannesburg expected departure at 910 called kq five minutes away from jkia and informed of delayed departure 1140 checked in and informed of another delayed departure to 12 noon boarded for departure at 12 noon captain announces that we must wait for passengers connecting from new delhi crew advise that they have no idea how long this will take we finally depart at 1240 kq did not know that there were passengers arriving from new delhi all along the flight scheduled for 7am had not left thus passengers booked for this flight still stuck with everyone else what exactly is happening  now informed that the johannesburgnairobi 1055 never actually exist and has never flown  but kq will nevertheless book you on this flight and demand usd 80 for any attempt to change is this still the pride or the embarrassment of africa in as far as this route is concerned a number of kenyans flying on this route frequently advise that you need to stay away from kenya airways i hope that the return trip will be without delay
386,im writing from the jkia airport in nairobi still stuck for 24 hours without any explanation from management there was a 5 hour delay for all flights after that operations at the airport resumed to normal but kenya airways kept telling us we would depart every 3 hours until 1am when passengers became angry and had to storm the first class lounge of kenya airways so someone from management could be called to explain the reason for the long delay needless to say no one showed up some passengers with children have been stuck at the airport for 2 days some passengers  not all have been given food on average i would say that in the last 24 hours passengers have had 1 meal here we are paying 1100 from nairobi to accra but this service is pathetic
387,checked in with seats assigned near the front trip from the seychelles back to nairobi for our connection back to lhr on ba boarded only to be told to forget the seat assignment it became an easyjet  ryanair fiasco this happened on the nairobiseychelles route too i fly a lot and i must say the crew were without doubt the most miserable and rudest crew ive come across on a positive note the food was quite good and the movie for a short flight was welcome the crew and boarding let the whole thing down this was a 3 hour economy flight from nairobi to mahe both ways torn between yes and no for recommendation as pros and cons
388,y disappointing indeed as a kenyan i wanted to believe that kenya airways is indeed the pride of africa perhaps it was at a time recently it is starting to be an embarrassment of africa service has deteriorated to poor levels our departure to dubai was delayed for almost 3 hours we were bundled out of the business lounge only to spend another hour waiting and without any airline staff explaining the cause of delay or if indeed we were going to travel they passed to and fro without having the courtesy to explain my experience in the morning from mombassa was a joke
389,update of my previous review rebooked flight out of joburg at 1115 on 17th april was cancelled with no advance notice sent customer service not at all fazed by further inconvenience to passengers given access to lounge after a vigorous complaint today 27th april 2012 tried online checkin for return flight not too surprised to receive the message your reservation does not exist called call centre in nairobi only to be told my return reservation did not exist eventually it was resolved am now awaiting the right ticket by email
390,a nightmare out of johannesburg on 16th april flight due to take off at 1320 at 1345 the captain announced 9 passengers needed to disembark the aircraft in order to balance the load a few passengers opted for the us500 voucher in exchange for disembarking however an hour later the aircraft hadnt moved chief fa then informs passengers that another 10 passengers have to be offloaded eventually all passengers had to disembark the aircraft and reboard so calculations could be reconciled with the regulations at 1630 after a frustrating 3 hour wait i voluntarily disembarked was taken to the baggage hall to collect my bag only to find all passengers baggage had not even been loaded onto the aircraft staff lied and tried to pass the buck at every opportunity i have now been rebooked on 17th april and am not expecting a better show from kq
391,heathrow to harare return outbound flight was okay with no delays and the flight was comfortable return flight was a nightmare we were delayed twice  once in harare and nairobi with no explanation for the delays
392,airobi to lagos boarding procedures unpleasant sat in a window seat with a passenger next to me who had little appreciation of personal space and who loved what i was watching on my ipad food was great took 3 requests to get a drink after food service finished would see if i could afford business class next time
393,have had very poor experiences in the past but kenya airways seems to be stepping up their game recent flights to juba addis kigali maputo and joburg were all on time seatsplanes were ok new embraers are great and service very good staff are almost always polite
394,helpful crew but awful aeroplanes on lhrnbo route in contrast to those internally used between nairobientebbenairobi and mombassa charming staff wheelchaired me onto flight from entebbe to nairobi and did the same to catch a plane on to mombassa ground staff at mombassa failed to explain luggage was ticketed through to lhr while of course on arrival in kenya luggage is collected and then reinserted for an internal flight onboard 40f did not recline and the video did not work a seat change produced a screen that worked and earphones with insufficient output to listen to the film misery on long flights
395,fight from kigali to nairobi cancelled they gave me a flight the next day meaning i had to spend 24 hours in kigali which i was transiting through i missed two connections paris and washington dc they put me on a flight that required 8 hrs layover in nairobi and refused to offer lounge access the seat they gave me was by the exit arm rest was removed and i had to hold the tray table on my knees every time i needed it a huge 767 no entertainment system food was as terrible as the service
396,heathrow to nairobi return on time in both directions food ok going out but poor on return ife not working on outward journey the b777 was very stuffy and with poor seats it was difficult to sleep ba does this flight better
397,heathrow to nairobi return on time in both directions food ok going out but poor on return ife not working on outward journey the b777 was very stuffy and with poor seats it was difficult to sleep ba does this flight better
398,when our flight was delayed due to the snow 3 weeks ago kenya airways couldnt have been more helpful we were given breakfast and lunch vouchers a room in a hotel until we were able to fly later on in the day and buses were laid on to ferry us backwards and forwards from the terminal staff were courteous and helpful
399,heathrow to nairobi return business cabin comfortable and food good staff charming and helpful cabin can get very stuffy daylight flight preferable very happy to travel ka again
400,five of us travelled from nairobi to mombassa return what can you say about a 45 mins flight take off seat ok drink served with polite crew
401,lhrnbo return economy in uncomfortable and cramped seats that made sleep impossible in different seats for outward and inbound flights but inflight entertainment system was broken on both legs b777 fairly modern but worn buttons on the entertainment system suggested it had been broken for some time cabin staff promised to come back but never did later used crew call button but this was ignored food was poor with breakfast just a bread roll and jam cramped hot and stuffy nairobi airport wasnt much fun either
402,have returned recently from mombassa  outbound journey not as bad as last year seats still very uncomfortable internal flights via nairobi to mombassa  crew were helpful and happy not so on our night flight back to the uk crew rude and unhelpful inedible food
403,comoros hah to johannesburg jnb via nairobi nbo a terrible experience  firstly checkin in comoros is chaotic secondly i and about 6 others were downgraded from business to economy class without apology or explanation thirdly i and the other downgraded passengers had to search around the crowded economy cabin to find a spare seat  cabin crew did not show any interest sympathy and did not help
404,lhr to nbo and juba return excellent flights in both directions 777200 on lhrnbo legs with comfortable if slightly worn lie flat beds excellent cabin service throughout nbojuba in new emb 170 in economy but good food and drinks faultless service despite the chaos of juba airport
405,boams checked in online baggage drop very efficient b777200 with relatively new interior and functioning ife flight left on time and arrived in ams 30 mins early cabin crew were friendly and informative the food was wellseasoned and hot drinks available throughout arrival in ams was smooth and i had my baggage within 10 mins of landing it is unfortunate that kq is unable to provide this experience every single time that accounts for the low ratings and terrible reviews
406,frequent traveller between nboebb good mannered and helpful staff left 10 mins ahead of schedule and arrived on time this is unique given frequent delays on this route will the improvement hold
407,lhr to nbo boeing 777 could feel the seat framework through the upholstery ife didnt work entire control unit in armrest out of action so when the cabin lights were switched off at 10pm i couldnt even switch the light on to read my book cabin staff unhelpful and surly drinks only offered with meals so only twice on a 9 hour flight return flight also 777 different experience completely  staff nice seats fine ife worked came round with drinks several times internal flights from nairobi to mombasa and return were fine
408,lhr to nairobi flight left on time and arrived early seat 31 back row but only 2 seats were comfortable enough and reclined ok food very good and fas good night flight so not bothered about ife return left on time and arrived early food not so good same excellent seats all in all very pleasantly surprised after reading some awful comments would use again
409,johannesburg to nairobi checkin at oliver tambo is a disaster i had checked in online but despite this i had to checkin at the machine as well as the checkin counter the printout from the online checkin as well as the boarding pass printed by the machine are both promptly torn up by the checkin agent who then prints the final boarding pass trolleys are not allowed in the queues for security reasons when all other airlines operating from the same terminal allow trolleys to be pushed right up to the checkin counter flight itself is poor old aircraft with many broken seats and badly trained staff
410,johannesburg from london fairly easy to book and good at checkin food served on londonnairobi trip was awful  the local ugali was served this is not something you serve unless fresh and especially not on an airline we were delayed disembarking in nairobi we waited on the tarmac for the buses to take us to the terminal worse was that it was a cold night would not recommend this airline in its current state it needs urgent and drastic overhaul
411,london to nairobi was an ok experience from there it went right down hill arrived at nairobi to the news that my onward connection to kigali had been cancelled so an extended stay at the worst international airport i have ever been in combine that with less than helpful staff made for a very miserable 45 hours onward flight was in a modern comfortable airplane but no compensation for the nairobi experience will definitely be seeking an alternative route next time
412,from nairobi to addis ababa via djibouti i must say that was the worst flight that i have ever been on the seats didnt recline enough for one to say that they were in business class the seating was just uncomfortable and the seats were small the cabin crew helped by providing a fairly good service other then that the flight was just a drag and when i landed in addis ababa my back was hurting that was my first and definitely last time flying with kenya airways
413,flew from kenya to bangkok service and food was good ife was below average half the channels did not work the bathrooms at least this time had enough toilet paper and hand towels service has a long way to go before it reaches other airline levels jomo kenyatta a very old and tired airport
414,kgl via bjm well timed flights good aircrafts  operated an embraer 190 jet new and comfortable had a hot breakfast with an option of chicken beef and veggie the crew were young and friendly captain kept us well informed on reports on turbulence
415,london heathrow to nairobi on christmas day the flight was cancelled and we flew the following morning we were left in a fair amount of chaos only by following other passengers did we find our way out of the airport to the heathrow hilton our luggage was left overnight in the hold the hilton had more or less run out of food there was one representative from the airline at the hotel reception to inform us of what was happening the following day once onboard the food was awful stale breakfast when we should have had lunch the food from the previous day screens for entertainment didnt work on our return flight the loos were blocked awful food this airline really needs to raise its game
416,business class between nairobi and heathrow good both ways charming staff comfortable seats and a great effort to provide food for a gluten free vegetarian flights on time entertainment limited but overall pleasantly surprised
417,lhrnbo economy sat on the plane for 3hrs at lhr while recurrent electrical problem was fixed they kept us well informed of the situation but it turned an 8hr flight into an 11hr journey all the negatives are well documented here my conclusion pay the extra for ba or vs or if you have time emirates via dubai economy product isnt up to much nbolhr business paid for a last minute upgrade at nbo business cabin is light and airy with only 28 seats on the 777200 with the cabin half empty comfortable fully adjustable chair which turns into a 75 inch flat bed meals served on china and of a good quality and drinks readily available only gripe is the awful avod at 500 for the upgrade i felt this represented value for money and such a far cry from the outbound horrors in economy
418,lhrnbohre flight from london to nairobi was terrible barely enough leg room the entertainment system did not work and the crew was rude and offish flight from nairobi to harare was much better although there was no inflight entertainment overall i would only recommend this airline if the flight is intracontinental rather than intercontinental
419,darnboams both flights departed on time however staff on both flights were not particularly friendly or thoughtful  what a difference with our inward flight to nairobi with klm food on nboams was a disappointment with dry buns for breakfast and a salad for lunch received one drink directly after take off but after that no more refreshments for 5 hours flight entertainment system on the 8 hrs nboams flight was not working  system spontaneously reset itself several times during the flight or it didnt work at all overall very disappointing and what a shame that kenya airways is a code sharing partner of klm
420,bo to accra to my surprise flight was overbooked many who had tickets could not fly flight itself was pleasant with friendly attendants food ok seat on the aisle next to exit could not recline though legroom was good however this was shattered when our luggage was left  many passengers affected almost 2 hours waiting in line in accra just to report this 3 days down the line still waiting good airline but becoming sloppy
421,airobi to harare in business class on a new embraer 190s excellent aircraft for regional flights individual touch screens with limited choice of movies and music but sufficient given the length of the journey quite good food and very friendly crew but they left behind over 100 passengers luggage in nairobi including mine no airline staff were available no compensation and rather unprofessional handling agent at harare airport nairobi airport  probably ok in 1980s but was crowded dirty and not up to standards for 2011
422,boams departure time was 810am but just before takeoff we had to go back to the gate to switch planes which took a good 3 hrs flight took off around 12pm crew did not provide any refreshments during the 4 hr delay onboard crew were rude and seemed disinterested in serving passengers the food was fair the entertainment was not working the crew seemed more interested in chit chatting at the back on the plane than serving us overall i was totally dissatisfied with this airline
423,melbourne to zambia via bangkok through nairobi flight from bangkok to nairobi was delayed without any apologies or explanation flight attendants were not friendly and not even a smile from them i asked for some headphones and 4 hours later i reminded her and she just threw them at me my flight from nairobi to lusaka was also delayed without any apologies again my return trip was the same
424,lhrnb0hre return  b777 and b737800 the aircraft was modern but seemed a bit tired inside the cabin boarding was efficient from lhr but chaotic at nbo the ife had very limited choices the cabin crew were semi efficient but at times seemed rude however i found the meals to be good and their complimentary gifts for my kids made for a pleasant flights indeed seating and legroom is fair overall a decent airline i would use again
425,london to nairobi the worst airline i have ever used departure delayed by more than 12 hours almost no staff to help us rude unsmiling and unhelpful when they did appear inflight entertainment didnt work on the way out or on the return flight a week later food awful no legroom either
426,amsterdamnairobi flight left and arrived on time food despite not looking appetising actually quite tasty staff relatively efficient seat back entertainment didnt work properly seemed to be hit and miss for most passengers im 5ft 10 and i found seating on the 767 to be incredibly cramped much more so than the return flight on klm that and the position of the entertainment box under my b seat made it physically impossible to find a position in which to sleep
427,as per the previous review i was traveling on the cancelled 2345 flight from nairobi to heathrow as part of a round trip the flights in both directions were reasonably good the entertainment systems were broken for most of the seats but staff were pleasant and helpful and food was good unfortunately the reaction to the cancelled flight was awful and the worst treatment i have ever received from an airline as the previous reviewer says the staff were very slow extremely ill informed and seem to have lied on occasion almost no effort was made to inform passengers as to what they needed to do in terms of changing flights getting back through immigration control and sorting out a hotel this resulted in a great deal of frustration and wasted time queuing in the wrong places in particular the airline made very little effort to help passengers find hotel accommodation only one member of staff was available to help and passengers including us were told that there was no hotel accommodation left available which was later proved to be untrue when a number of passengers complained and were miraculously found hotel rooms i suspect the lack of hotel rooms may have related rather more to a lack of appetite to pay the room rates rather than any genuine shortage ultimately we along with perhaps a third of the passengers ended up sleeping on the floor of the transit lounge until we were told to get up and move at around 6am the rescheduled flight was then further delayed when the first officer did not turn up for work at this point refreshments were provided but not enough for all the passengers all in all a consistent and depressing display of incompetence
428,airobilhr i recently was unfortunate to have flown kenya airways flying nairobi to heathrow on the 2345 flight we were told after we had all proceeded through the gate that it had been cancelled this was at midnight 2 staff were available to book over 200 people onto new flights they were slow rude and lied about when they were able to do they were very slow to provide any refreshments and were not able to accommodate everyone in hotels until the flights the following day  so we had to sleep on the floor when i finally got a flight home the food was substandard the staff were rude and surly toilets were not cleaned or maintained i will never be flying this airline again
429,lhr to nairobi punctual departure and arrival clean spacious 777 good leg room inflight entertainment not working food lamb stew with very overcooked veg  second rate school dinners completely unsmiling cabin crew who knocked my arm i was in an aisle seat every time they passed loos not tidied or cleaned during flight 85 hours
430,antananarivo to nairobi flight arrived at ivato airport to be told flight cancelled check in staff had no idea why or when they would be able to get me to nairobi on the next flight they said when will that be i asked i dont know in the next few days was the reply i was sent to the carlton hotel to wait to be recalled at hotel discovered that a room had been booked for me for four nights however message received at hotel to be ready for transport to airport the next day at 800am arrived at ivato 830am checkin didnt open till 1015am once checked in to nairobi i was casually told that my london connection was booked for two days later after some minutes of discussion they transferred me to that evenings london connection which involves nine hours in nairobi airport
431,i write this sitting in an airport lounge having just disembarked from the only trip that i have ever taken using kenya airways  it is awful the outbound flight there was no individual entertainment system just a single main screen movie that was impossible to watch the seats were uncomfortable food awful and not enough the return flight used a newer aircraft but that only meant that the seats were even closer together making it a long and painful trip even though the newer aircraft had individual entertainment system it was lacking features and mine did not work they could not even turn it off so that i could sleep so i had this white screen glaring at me all through the night the crew are poor  10 minutes before landing i asked what terminal we would arrive at and they did not know if you have a choice to use another airline then please do
432,good points are that we left on time and boarding was well organised service onboard was awful on both flights the entertainment system was not working and despite asking over and over again no one had the courtesy to come back to me on the outward flight the service was a disgrace  no drink for an hour then it came with the meal i had asked twice for a drink and was told 2 minutes the plane was tired  carpets rucked up and loose seats dirty and stained
433,flights delayed no customer service and poor communication sullen and unhelpful staff passengers were treated more like cattle and staff acted more like those of a budget airline
434,check in was chaotic and the ground manager seemed more concerned about whether the flight was full than the brusque attitude of the checkin staff even at business checkin onboard the seats were comfortable and the service of the business crew was attentive without being over powering the drinks were flowing the food high quality with an excellent breakfast the journey was smooth the blanket could have been better and the utility set was not to the standard i would expect from business the entertainment was ok but there was insufficient choice enjoyed the flight but still improvements that could be made
435,fihnbocdg all flights on time i was surprised that they did not make any welcome announcements before takeoff very unusual food was great on the first leg 737800 service was quick and efficient the nairobi jomo kenyatta airport is getting better every day with new seating areas boarding was slow on the paris flight food good with a new kq menu a nice touch for economy class passengers the cabin was however too cold so passengers did not have a good night sleep good flights overall and friendly staff
436,boams plane scheduled to leave at 810am at 12pm no boarding no announcement passengers started asking questions and an announcement came that the crew had not arrived we ended up leaving more than 7hrs later the tv on the plane did not work making an already 8 hr long journey almost unbearable
437,lhr  nbo return on a b777 departed and arrived on time no problems with bags the food was average with a full meal followed later by a snack going to nbo on the trip north a small snack at the start of the trip and a small breakfast at the end the cabin crew was fine the plane was in good condition the entertainment system had limited range of programs the only major issue was the boarding procedure at nairobi airport the passengers were squeezed into a tiny departure lounge for a long time the boarding process was a mess with announcements and ground staff contradicting each other i would happily use them again
438,boams on b777 mixed experience we were almost 1 hr late departing nairobi with no explanations or apologies arrived in ams almost on time breakfast was average with a hot lunch which was quite good ife was a bit unstable but kept me entertained had an onwards connection in ams with klmcph that i made but my luggage didnt delivered next day at my home in copenhagen
439,jnbnbo cabin crew were warm and friendly food was very good ife was average but they can do much better the duty free was surprisingly good
440,antanatarivo to niarobi 4 hr flight left on time service was good and cabin staff attentive food was average with ok leg room cabin and toilets clean first time on kq and was pleasantly surprised however this was shorthaul  longhaul experience was awful
441,airobi to ldn economy seat 33c and 24b boarding a little chaotic and some sat in the boarding lounge for 90 mins staff were sufficiently attentive food adequate av worked and toilets very clean arrived on time seating 24b was very poor no leg room and uncomfortable moved to 33c aisle seat limited recline and impossible to sleep avoid kq economy long haul short haul however is good
442,we were quite disappointed by our first experience of kenya airways on our recent trip from london to nairobi  my husbands tv wasnt working and although we asked for help that was simply ignored the staff looked bored and were not very attentive you had to be quick to say that you wanted coffeetea as you only had one chance much too early during dinner the food wasnt great but edible i was also annoyed by the fact that they didnt encourage other passengers to put their seats forward when food was served  that meant we had even less space whilst having our breakfast the flight back was not quite as bad but still i felt the staff could have made more of an effort occasional smile would be nice the thing i would really like to criticise was the boarding procedure at nairobi airport  we were asked to board 15 hours before departure which meant that we were squeezed into a tiny departure lounge for that length of time  the boarding was a mess with the announcements and ground staff contradicting each other  despite the early boarding time we still managed to leave late
443,cabin crew in economy not very communicative they seem to forget it is their job to be polite and helpful flying in economy is stressful especially when most of the time the entertainment system doesnt work toilets are left dirty towards the end of the flight and if you want duty free items you have to watch for when they come by or you will miss them food was awful with very limited choice tea and coffee service is poor
444,flew kq in business nbojnb using points we were on the 8pm flight check in was very easy with no queue the lounge in nbo is small and crowded we boarded by bus cram as many people in as you can on board 737800 only 516 seats occupied food was good there was one starter no choice choice of 2 main courses and then desert or cheese preplated wine was excellent service was good glasses were always topped up we never use kq ife always carry our own ipad and bose noise cancelling headphones kq gave a basic amenity kit arrival into jnb was 30 mins early luggage took 15 mins to come out overall pleasant experience
445,it was a mombasanairobi flight schedule to leave at 1440h so we arrived at the airport by 1315h and checked in they did not say one word to us about the delay they didnt tell us anything but simply put it up on the board after we had waited for 2 hrs already without any announcement or explanation of course it did not leave until 1840h kq will allow you to book and check in then they will not service the flight leaving you effectively grounded and waiting for up to 5 hrs for a local flight pure inefficiency
446,lhrnbo had read on here from many posters that the ife is grossly unreliable and not surprisingly i struck the same with the entire side of the plane without ife no compensation but nottoo bothered as was an overnight flight and i slept arrival procedure in nairobi bordering on chaotic with visa process etc and baggage hall a shambles but not fault of airline having made the choice over bavs to see something different i was satisfied staff were surprisingly good
447,he seats were neat and clean and food was excellent our flight from johannesburg to nairobi couldnt land at nairobi the plane landed at mombasa where passengers were kept in the airport for 4 hrs without foodwater kenyan airways and airport staff were not able to manage angry passengers we were taken to nairobi the next morning i missed all my schedules staffs are not prepared they lack coordination with each other
448,staff completely uninterested and uninformed especially ground staff who upon being confronted with the slightest challenge turn their back and leave always delays very filthy toilets overpriced tickets especially within africa business class lounge is average
449,bofih checkin at the jomo kenyatta airport was slow as usual with long lines starting outside the terminal flight on time on a 767300 for some reason ife was not available but i did not mind as the flight was 3 hrs a nice hot breakfast was served after take off by a very friendly almost all male cabin crew great flight overall  with good standards and professional crew for an african airline
